id,original_title,overview,genres,keywords,cast,production_companies,release_date,vote_average,vote_count,runtime,original_language,popularity,director,combined_features
19995,Avatar,nd century paraplegic marine dispatch moon pandora unique mission tear follow order protect alien civilization,Action Adventure Fantasy ScienceFiction,cultureclash future spacewar spacecolony society spacetravel futuristic romance space alien tribe alienplanet cgi marine soldier battle loveaffair antiwar powerrelations mindandsoul 3d,SamWorthington ZoeSaldana SigourneyWeaver,IngeniousFilmPartners TwentiethCenturyFoxFilmCorporation DuneEntertainment LightstormEntertainment,2009-12-10,7.2,11800,162.0,en,150.437577,JamesCameron,nd century paraplegic marine dispatch moon pandora unique mission tear follow order protect alien civilization Action Adventure Fantasy ScienceFiction cultureclash future spacewar spacecolony society spacetravel futuristic romance space alien tribe alienplanet cgi marine soldier battle loveaffair antiwar powerrelations mindandsoul 3d SamWorthington ZoeSaldana SigourneyWeaver JamesCameron IngeniousFilmPartners TwentiethCenturyFoxFilmCorporation DuneEntertainment LightstormEntertainment
285,Pirates of the Caribbean: At World's End,captain barbossa long believe dead come life head edge earth turner elizabeth swann,Adventure Fantasy Action,ocean drugabuse exoticisland eastindiatradingcompany loveofone'slife traitor shipwreck strongwoman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger,JohnnyDepp OrlandoBloom KeiraKnightley,WaltDisneyPictures JerryBruckheimerFilms SecondMateProductions,2007-05-19,6.9,4500,169.0,en,139.082615,GoreVerbinski,captain barbossa long believe dead come life head edge earth turner elizabeth swann Adventure Fantasy Action ocean drugabuse exoticisland eastindiatradingcompany loveofone'slife traitor shipwreck strongwoman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger JohnnyDepp OrlandoBloom KeiraKnightley GoreVerbinski WaltDisneyPictures JerryBruckheimerFilms SecondMateProductions
206647,Spectre,cryptic message bond s past send trail uncover sinister organization m battle political force secret service alive bond peel layer deceit reveal terrible truth spectre,Action Adventure Crime,spy basedonnovel secretagent sequel mi6 britishsecretservice unitedkingdom,DanielCraig ChristophWaltz LéaSeydoux,ColumbiaPictures Danjaq B24,2015-10-26,6.3,4466,148.0,en,107.376788,SamMendes,cryptic message bond s past send trail uncover sinister organization m battle political force secret service alive bond peel layer deceit reveal terrible truth spectre Action Adventure Crime spy basedonnovel secretagent sequel mi6 britishsecretservice unitedkingdom DanielCraig ChristophWaltz LéaSeydoux SamMendes ColumbiaPictures Danjaq B24
49026,The Dark Knight Rises,follow death district attorney harvey dent batman assume responsibility dent s crime protect late attorney s reputation subsequently hunt gotham city police department year later batman encounter mysterious selina kyle villainous bane new terrorist leader overwhelm gotham s fine dark knight resurface protect city brand enemy,Action Crime Drama Thriller,dccomics crimefighter terrorist secretidentity burglar hostagedrama timebomb gothamcity vigilante cover-up superhero villainess tragichero terrorism destruction catwoman catburglar imax flood criminalunderworld batman,ChristianBale MichaelCaine GaryOldman,LegendaryPictures WarnerBros. DCEntertainment Syncopy,2012-07-16,7.6,9106,165.0,en,112.31295,ChristopherNolan,follow death district attorney harvey dent batman assume responsibility dent s crime protect late attorney s reputation subsequently hunt gotham city police department year later batman encounter mysterious selina kyle villainous bane new terrorist leader overwhelm gotham s fine dark knight resurface protect city brand enemy Action Crime Drama Thriller dccomics crimefighter terrorist secretidentity burglar hostagedrama timebomb gothamcity vigilante cover-up superhero villainess tragichero terrorism destruction catwoman catburglar imax flood criminalunderworld batman ChristianBale MichaelCaine GaryOldman ChristopherNolan LegendaryPictures WarnerBros. DCEntertainment Syncopy
49529,John Carter,john carter war weary military captain s inexplicably transport mysterious exotic planet barsoom mar reluctantly embroil epic conflict s world brink collapse carter rediscover humanity realize survival barsoom people rest hand,Action Adventure ScienceFiction,basedonnovel mars medallion spacetravel princess alien steampunk martian escape edgarriceburroughs alienrace superhumanstrength marscivilization swordandplanet 19thcentury 3d,TaylorKitsch LynnCollins SamanthaMorton,WaltDisneyPictures,2012-03-07,6.1,2124,132.0,en,43.926995,AndrewStanton,john carter war weary military captain s inexplicably transport mysterious exotic planet barsoom mar reluctantly embroil epic conflict s world brink collapse carter rediscover humanity realize survival barsoom people rest hand Action Adventure ScienceFiction basedonnovel mars medallion spacetravel princess alien steampunk martian escape edgarriceburroughs alienrace superhumanstrength marscivilization swordandplanet 19thcentury 3d TaylorKitsch LynnCollins SamanthaMorton AndrewStanton WaltDisneyPictures
559,Spider-Man 3,seemingly invincible spider man go new crop villain include shape shift sandman spider man s superpower alter alien organism alter ego peter parker deal nemesis eddie brock get catch love triangle,Fantasy Action Adventure,dualidentity amnesia sandstorm loveofone'slife forgiveness spider wretch deathofafriend egomania sand narcism hostility marvelcomic sequel superhero revenge,TobeyMaguire KirstenDunst JamesFranco,ColumbiaPictures LauraZiskinProductions MarvelEnterprises,2007-05-01,5.9,3576,139.0,en,115.699814,SamRaimi,seemingly invincible spider man go new crop villain include shape shift sandman spider man s superpower alter alien organism alter ego peter parker deal nemesis eddie brock get catch love triangle Fantasy Action Adventure dualidentity amnesia sandstorm loveofone'slife forgiveness spider wretch deathofafriend egomania sand narcism hostility marvelcomic sequel superhero revenge TobeyMaguire KirstenDunst JamesFranco SamRaimi ColumbiaPictures LauraZiskinProductions MarvelEnterprises
38757,Tangled,kingdom s wanted charming bandit flynn rider hide mysterious tower s take hostage rapunzel beautiful feisty tower bind teen foot magical golden hair flynn s curious captor s look ticket tower s lock away year strike deal handsome thief unlikely duo set action pack escapade complete super cop horse protective chameleon gruff gang pub thug,Animation Family,hostage magic horse fairytale musical princess animation tower blondewoman selfishness healingpower basedonfairytale duringcreditsstinger healinggift animalsidekick,ZacharyLevi MandyMoore DonnaMurphy,WaltDisneyPictures WaltDisneyAnimationStudios,2010-11-24,7.4,3330,100.0,en,48.681969,ByronHoward,kingdom s wanted charming bandit flynn rider hide mysterious tower s take hostage rapunzel beautiful feisty tower bind teen foot magical golden hair flynn s curious captor s look ticket tower s lock away year strike deal handsome thief unlikely duo set action pack escapade complete super cop horse protective chameleon gruff gang pub thug Animation Family hostage magic horse fairytale musical princess animation tower blondewoman selfishness healingpower basedonfairytale duringcreditsstinger healinggift animalsidekick ZacharyLevi MandyMoore DonnaMurphy ByronHoward WaltDisneyPictures WaltDisneyAnimationStudios
99861,Avengers: Age of Ultron,tony stark try jumpstart dormant peacekeeping program thing awry earth s mighty hero ultimate test fate planet hang balance villainous ultron emerge avenger stop enact terrible plan soon uneasy alliance unexpected action pave way epic unique global adventure,Action Adventure ScienceFiction,marvelcomic sequel superhero basedoncomicbook vision superheroteam duringcreditsstinger marvelcinematicuniverse 3d,RobertDowneyJr. ChrisHemsworth MarkRuffalo,MarvelStudios PrimeFocus RevolutionSunStudios,2015-04-22,7.3,6767,141.0,en,134.279229,JossWhedon,tony stark try jumpstart dormant peacekeeping program thing awry earth s mighty hero ultimate test fate planet hang balance villainous ultron emerge avenger stop enact terrible plan soon uneasy alliance unexpected action pave way epic unique global adventure Action Adventure ScienceFiction marvelcomic sequel superhero basedoncomicbook vision superheroteam duringcreditsstinger marvelcinematicuniverse 3d RobertDowneyJr. ChrisHemsworth MarkRuffalo JossWhedon MarvelStudios PrimeFocus RevolutionSunStudios
767,Harry Potter and the Half-Blood Prince,harry begin sixth year hogwart discover old book mark property half blood prince begin learn lord voldemort s dark past,Adventure Fantasy Family,witch magic broom schoolofwitchcraft wizardry apparition teenagecrush werewolf,DanielRadcliffe RupertGrint EmmaWatson,WarnerBros. HeydayFilms,2009-07-07,7.4,5293,153.0,en,98.885637,DavidYates,harry begin sixth year hogwart discover old book mark property half blood prince begin learn lord voldemort s dark past Adventure Fantasy Family witch magic broom schoolofwitchcraft wizardry apparition teenagecrush werewolf DanielRadcliffe RupertGrint EmmaWatson DavidYates WarnerBros. HeydayFilms
209112,Batman v Superman: Dawn of Justice,fear action god like super hero leave unchecked gotham city s formidable forceful vigilante take metropolis s revere modern day savior world wrestle sort hero need batman superman war new threat quickly arise put mankind great danger s know,Action Adventure Fantasy,dccomics vigilante superhero basedoncomicbook revenge superpowers clarkkent brucewayne dcextendeduniverse,BenAffleck HenryCavill GalGadot,DCComics AtlasEntertainment WarnerBros. DCEntertainment Cruel&UnusualFilms RatPac-DuneEntertainment,2016-03-23,5.7,7004,151.0,en,155.790452,ZackSnyder,fear action god like super hero leave unchecked gotham city s formidable forceful vigilante take metropolis s revere modern day savior world wrestle sort hero need batman superman war new threat quickly arise put mankind great danger s know Action Adventure Fantasy dccomics vigilante superhero basedoncomicbook revenge superpowers clarkkent brucewayne dcextendeduniverse BenAffleck HenryCavill GalGadot ZackSnyder DCComics AtlasEntertainment WarnerBros. DCEntertainment Cruel&UnusualFilms RatPac-DuneEntertainment
